epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.323,2.13076,23.3295,1.42773,0.00255,0.05248,0.00182,0.00108,1.55114,4.35617,1.12148,0.0668761,6.63805e-05,6.63805e-05
2,533.634,1.90282,7.75437,1.27103,0.17209,0.16623,0.15878,0.09316,1.46355,2.75134,1.03972,0.0336094,0.000132989,0.000132989
3,655.133,1.74026,5.24018,1.20992,0.19167,0.28026,0.22325,0.12292,1.431,2.23644,1.01385,0.000342429,0.000199367,0.000199367
4,776.515,1.66936,4.29911,1.17474,0.3211,0.26385,0.24711,0.14178,1.39671,2.15573,0.98265,0.000199219,0.000199219,0.000199219
5,897.966,1.64498,3.69687,1.13017,0.29983,0.31199,0.26731,0.15106,1.37694,2.1011,0.97392,0.000198614,0.000198614,0.000198614
6,1019.12,1.63695,3.288,1.12132,0.36726,0.36984,0.33725,0.18855,1.37001,1.83143,0.96716,0.000197837,0.000197837,0.000197837
7,1139.72,1.60843,3.05625,1.10508,0.41363,0.39618,0.37802,0.21757,1.36645,1.70898,0.97656,0.00019689,0.00019689,0.00019689
8,1261.26,1.5375,2.76979,1.09282,0.35659,0.43116,0.3585,0.20398,1.32268,1.74558,0.95661,0.000195775,0.000195775,0.000195775
9,1382.25,1.5098,2.57993,1.05771,0.45187,0.47485,0.42378,0.23488,1.34297,1.62705,0.9687,0.000194493,0.000194493,0.000194493
10,1502.96,1.57681,2.58545,1.09348,0.44502,0.49346,0.44461,0.24969,1.3315,1.57875,0.95028,0.000193048,0.000193048,0.000193048
11,1623.68,1.51693,2.35674,1.06811,0.5075,0.5298,0.49884,0.27907,1.32343,1.42159,0.95,0.000191441,0.000191441,0.000191441
12,1744.41,1.4984,2.22944,1.05221,0.47142,0.51904,0.47853,0.26702,1.33378,1.43722,0.95886,0.000189675,0.000189675,0.000189675
13,1865.31,1.53896,2.29041,1.07229,0.53398,0.51849,0.52208,0.29007,1.31955,1.39589,0.94469,0.000187754,0.000187754,0.000187754
14,1986.34,1.50336,2.15121,1.04709,0.53603,0.60487,0.56098,0.31208,1.30861,1.33991,0.9366,0.000185681,0.000185681,0.000185681
15,2107.72,1.50841,2.17451,1.03408,0.51066,0.59025,0.5521,0.30792,1.3263,1.35451,0.94629,0.000183459,0.000183459,0.000183459
16,2228.34,1.48054,2.02427,1.03658,0.54404,0.5766,0.57854,0.3286,1.32162,1.31151,0.95012,0.000181093,0.000181093,0.000181093
17,2349.53,1.46958,2.09843,1.02955,0.54682,0.57778,0.56736,0.32589,1.30655,1.30935,0.9421,0.000178586,0.000178586,0.000178586
